sequence_number,total_time_millis,step_time_millis,voltage,current,power,step_amp_hours,step_charged_amp_hours,step_discharged_amp_hours,step_watt_hours,step_charged_watt_hours,step_discharged_watt_hours,total_cycle,step_number,step_type,step_id,cycler_type,observed_at
290,1423637,45045,0.9151043,-0.1999995,-0.18302040244785,0.0024999199999999992,6.89999999997637e-7,0.0024992300000000016,0.0025962100000000016,8.000000000021878e-7,0.0025954099999999994,4,17,CC_DChg,8,arbin,2021-04-21T17:38:05.428200000
291,1428640,50048,0.8881716,-0.2000001,-0.17763440881715997,0.0027712199999999944,6.89999999997637e-7,0.0027705299999999967,0.0028409200000000003,8.000000000021878e-7,0.002840119999999998,4,17,CC_DChg,8,arbin,2021-04-21T17:38:10.430700000
292,1433650,55058,0.8614058,-0.2000002,-0.17228133228116,0.003054959999999999,6.89999999997637e-7,0.0030542700000000013,0.00308924,8.000000000021878e-7,0.003088439999999998,4,17,CC_DChg,8,arbin,2021-04-21T17:38:15.441000000
293,1438653,60061,0.834681,-0.2000006,-0.1669367008086,0.0033314499999999962,6.89999999997637e-7,0.0033307599999999986,0.00332377,8.000000000021878e-7,0.003322969999999998,4,17,CC_DChg,8,arbin,2021-04-21T17:38:20.443500000
294,1443655,65063,0.8080964,-0.1999997,-0.16161903757108,0.003609379999999999,6.89999999997637e-7,0.003608690000000001,0.003552160000000002,8.000000000021878e-7,0.00355136,4,17,CC_DChg,8,arbin,2021-04-21T17:38:25.445800000
295,1448658,70066,0.7816538,-0.1999995,-0.15633036917309998,0.0038871199999999974,6.89999999997637e-7,0.0038864299999999997,0.003773020000000002,8.000000000021878e-7,0.0037722199999999997,4,17,CC_DChg,8,arbin,2021-04-21T17:38:30.449000000
296,1453659,75067,0.7553219,-0.1999992,-0.15106377574247998,0.004170539999999997,6.89999999997637e-7,0.004169849999999999,0.003990810000000001,8.000000000021878e-7,0.003990009999999999,4,17,CC_DChg,8,arbin,2021-04-21T17:38:35.449800000
297,1458661,80068,0.7290463,-0.2000015,-0.14581035356945002,0.0044430799999999986,6.89999999997637e-7,0.004442390000000001,0.004193060000000002,8.000000000021878e-7,0.00419226,4,17,CC_DChg,8,arbin,2021-04-21T17:38:40.451300000
298,1463663,85071,0.7028555,-0.1999998,-0.1405709594289,0.004725249999999997,6.89999999997637e-7,0.004724559999999999,0.004395120000000002,8.000000000021878e-7,0.00439432,4,17,CC_DChg,8,arbin,2021-04-21T17:38:45.454000000
299,1468675,90083,0.6767544,-0.1999999,-0.13535081232456,0.0050045999999999945,6.89999999997637e-7,0.005003909999999997,0.004587770000000001,8.000000000021878e-7,0.004586969999999999,4,17,CC_DChg,8,arbin,2021-04-21T17:38:50.465900000
300,1473681,95088,0.6508126,-0.1999996,-0.13016225967495998,0.005276779999999998,6.89999999997637e-7,0.005276090000000001,0.004768420000000002,8.000000000021878e-7,0.00476762,4,17,CC_DChg,8,arbin,2021-04-21T17:38:55.471300000
301,1478687,100095,0.6248965,-0.2000004,-0.12497954995859999,0.005561179999999995,6.89999999997637e-7,0.005560489999999998,0.004949830000000002,8.000000000021878e-7,0.00494903,4,17,CC_DChg,8,arbin,2021-04-21T17:39:00.477800000
302,1483697,105105,0.5991234,-0.2,-0.11982468,0.005836499999999998,6.89999999997637e-7,0.00583581,0.005118280000000003,8.000000000021878e-7,0.005117480000000001,4,17,CC_DChg,8,arbin,2021-04-21T17:39:05.487800000
303,1488698,110105,0.5734858,-0.2000004,-0.11469738939432,0.006117139999999997,6.89999999997637e-7,0.006116449999999999,0.005282780000000001,8.000000000021878e-7,0.005281979999999999,4,17,CC_DChg,8,arbin,2021-04-21T17:39:10.488300000
304,1493699,115107,0.5479025,-0.2,-0.1095805,0.0063947,6.89999999997637e-7,0.006394010000000002,0.00543832,8.000000000021878e-7,0.005437519999999998,4,17,CC_DChg,8,arbin,2021-04-21T17:39:15.489800000
305,1498594,120002,0.5228905,-0.2000002,-0.1045782045781,0.00666653,6.89999999997637e-7,0.006665840000000003,0.00558378,8.000000000021878e-7,0.005582979999999998,4,17,CC_DChg,8,arbin,2021-04-21T17:39:20.384800000
